date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:08:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:31%20GMT	https://akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt~bootstrap-responsive.f3ca696f.chunk.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt_bootstrap-responsive.f3ca696f.chunk.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:31%20GMT	https://akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt~bootstrap-responsive.eff8ef10.chunk.min.js	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt_bootstrap-responsive.eff8ef10.chunk.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:31%20GMT	https://akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt~common-site-members-dialogs.384b0b57.chunk.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt_common-site-members-dialogs.384b0b57.chunk.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:32%20GMT	https://akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt~common-site-members-dialogs.50ebdcfa.chunk.min.js	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt_common-site-members-dialogs.50ebdcfa.chunk.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:42	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:32%20GMT	https://akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt~bootstrap.f47ae840.chunk.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt_bootstrap.f47ae840.chunk.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:42	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:32%20GMT	https://akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt~bootstrap.d36dae34.chunk.min.js	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt_bootstrap.d36dae34.chunk.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:44	370034/370034	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Sep%202022%2013:38:33%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/creative-portfolio.html	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:44	316349/316349	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Sep%202022%2013:38:33%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/dev-portfolio	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/dev-portfolio.html	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:45	321632/321632	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Sep%202022%2013:38:34%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/achievements	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/achievements.html	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:45	88402/88402	---M--	200	added ('OK')	image/jpeg	etag:%2281336ab950d507c58deb4d555c84c0e2%22	https://static.wixstatic.com/media/a00ca3_8333d0c08a4a433e8c128a951c5c1494~mv2.jpg/v1/crop/x_105,y_0,w_4973,h_3456/fill/w_708,h_492,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/IMG_6640_JPG.jpg	C:/My%20Web%20Sites/Portfolio/static.wixstatic.com/media/a00ca3_8333d0c08a4a433e8c128a951c5c1494_mv2.jpg/v1/crop/x_105,y_0,w_4973,h_3456/fill/w_708,h_492,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/IMG_6640_JPG.jpg	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:45	1403/1403	---M--	200	added ('OK')	image/jpeg	etag:%22%22	https://static.wixstatic.com/media/99ec98fdb81945c29c25a3ad6c5606b1.jpg/v1/fill/w_81,h_54,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/99ec98fdb81945c29c25a3ad6c5606b1.jpg	C:/My%20Web%20Sites/Portfolio/static.wixstatic.com/media/99ec98fdb81945c29c25a3ad6c5606b1.jpg/v1/fill/w_81,h_54,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/99ec98fdb81945c29c25a3ad6c5606b1.jpg	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:46	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:36%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/decodeURIComponent(e	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/decodeURIComponent(e	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:46	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:36%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/robots.txt	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/robots.txt	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:47	266/266	---M--	200	added ('OK')	text/xml	date:Mon,%2005%20Sep%202022%2013:38:37%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/sitemap.xml	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/sitemap.xml	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:38%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/feed.xml	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/feed.xml	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:38%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/4da3e2b2.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/4da3e2b2.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:38%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/d36dae34.chunk.min.js	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/d36dae34.chunk.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:39%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/version/	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/version/index.html	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:49	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:39%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/eff8ef10.chunk.min.js	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/eff8ef10.chunk.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:49	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:39%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/rb_wixui.thunderbolt~bootstrap-classic.97ab5669.chunk.min.js	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/rb_wixui.thunderbolt_bootstrap-classic.97ab5669.chunk.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:49	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:39%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/rb_wixui.thunderbolt~bootstrap-responsive.f3ca696f.chunk.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/rb_wixui.thunderbolt_bootstrap-responsive.f3ca696f.chunk.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:50	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:40%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/rb_wixui.thunderbolt~bootstrap-responsive.eff8ef10.chunk.min.js	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/rb_wixui.thunderbolt_bootstrap-responsive.eff8ef10.chunk.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:50	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:40%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/rb_wixui.thunderbolt~bootstrap.f47ae840.chunk.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/rb_wixui.thunderbolt_bootstrap.f47ae840.chunk.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:50	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:40%20GMT	https://akashshanmugaraj.wixsite.com/portfolio/rb_wixui.thunderbolt~bootstrap.d36dae34.chunk.min.js	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/portfolio/rb_wixui.thunderbolt_bootstrap.d36dae34.chunk.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:51	96648/96648	---MCZ	200	added ('OK')	text/css	etag:W/%222b8454a603d2b97d1628ce02fe47d3f7%22	https://static.parastorage.com/services/pro-gallery-santa-wrapper/1.2739.0/staticCss.min.css	C:/My%20Web%20Sites/Portfolio/static.parastorage.com/services/pro-gallery-santa-wrapper/1.2739.0/staticCss.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:52	113548/113548	---M--	200	added ('OK')	image/png	etag:%22a4e6fa749f739ee53fbf22b1934289cc%22	https://static.wixstatic.com/media/a00ca3_135f952b2a814fb1aec9bce4899c53d9~mv2.png/v1/fill/w_749,h_131,q_90/a00ca3_135f952b2a814fb1aec9bce4899c53d9~mv2.png	C:/My%20Web%20Sites/Portfolio/static.wixstatic.com/media/a00ca3_135f952b2a814fb1aec9bce4899c53d9_mv2.png/v1/fill/w_749,h_131,q_90/a00ca3_135f952b2a814fb1aec9bce4899c53d9_mv2.png	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:53	92985/92985	---M--	200	added ('OK')	image/png	etag:%2248476305b26b3d298b353937eedcb271%22	https://static.wixstatic.com/media/a00ca3_d2679976232f475ba065be5074334f88~mv2.png/v1/fill/w_749,h_147,q_90/a00ca3_d2679976232f475ba065be5074334f88~mv2.png	C:/My%20Web%20Sites/Portfolio/static.wixstatic.com/media/a00ca3_d2679976232f475ba065be5074334f88_mv2.png/v1/fill/w_749,h_147,q_90/a00ca3_d2679976232f475ba065be5074334f88_mv2.png	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:53	24734/24734	---M--	200	added ('OK')	image/png	etag:%22098bcf4135578ecd5fbb97dd70449177%22	https://static.wixstatic.com/media/a00ca3_d3b1941e4f934d26819c1c7682f87217~mv2.png/v1/fill/w_749,h_146,q_90/a00ca3_d3b1941e4f934d26819c1c7682f87217~mv2.png	C:/My%20Web%20Sites/Portfolio/static.wixstatic.com/media/a00ca3_d3b1941e4f934d26819c1c7682f87217_mv2.png/v1/fill/w_749,h_146,q_90/a00ca3_d3b1941e4f934d26819c1c7682f87217_mv2.png	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:54	146426/146426	---M--	200	added ('OK')	image/png	etag:%224a1c51c17b1ee86854d1d82ed96c845f%22	https://static.wixstatic.com/media/a00ca3_6867111841c941b394282c6e0ccbc8c4~mv2.png/v1/fill/w_749,h_131,q_90/a00ca3_6867111841c941b394282c6e0ccbc8c4~mv2.png	C:/My%20Web%20Sites/Portfolio/static.wixstatic.com/media/a00ca3_6867111841c941b394282c6e0ccbc8c4_mv2.png/v1/fill/w_749,h_131,q_90/a00ca3_6867111841c941b394282c6e0ccbc8c4_mv2.png	(from https://akashshanmugaraj.wixsite.com/portfolio/creative-portfolio)
19:08:55	1995/1995	---M--	200	added ('OK')	image/jpeg	etag:%227147725f5dec7ecbb380fb9ccf18b76d%22	https://static.wixstatic.com/media/nsplsh_34292b211fde465c99aaae31bc995730~mv2.jpg/v1/fill/w_77,h_57,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/nsplsh_34292b211fde465c99aaae31bc995730~mv2.jpg	C:/My%20Web%20Sites/Portfolio/static.wixstatic.com/media/nsplsh_34292b211fde465c99aaae31bc995730_mv2.jpg/v1/fill/w_77,h_57,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/nsplsh_34292b211fde465c99aaae31bc995730_mv2.jpg	(from https://akashshanmugaraj.wixsite.com/portfolio/dev-portfolio)
19:08:56	2470/2470	---M--	200	added ('OK')	image/jpeg	etag:%22df939e27c4e66f636837413dc8ab77de%22	https://static.wixstatic.com/media/a00ca3_b8b368a012184559a654bb32ecc19f39~mv2.jpg/v1/fill/w_90,h_138,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/a00ca3_b8b368a012184559a654bb32ecc19f39~mv2.jpg	C:/My%20Web%20Sites/Portfolio/static.wixstatic.com/media/a00ca3_b8b368a012184559a654bb32ecc19f39_mv2.jpg/v1/fill/w_90,h_138,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/a00ca3_b8b368a012184559a654bb32ecc19f39_mv2.jpg	(from https://akashshanmugaraj.wixsite.com/portfolio/achievements)
19:08:56	44617/44617	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f4c750b6a2bbfd81e955d9821a8db4fa%22	https://static.parastorage.com/services/pro-gallery-santa-wrapper/1.2739.0/media/emptystate.f4c750b6.svg	C:/My%20Web%20Sites/Portfolio/static.parastorage.com/services/pro-gallery-santa-wrapper/1.2739.0/media/emptystate.f4c750b6.svg	(from https://static.parastorage.com/services/pro-gallery-santa-wrapper/1.2739.0/staticCss.min.css)
